ALGORITMO,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
HC,0.9279251098632812,0.3039836883544922,0.22983551025390625,0.38814544677734375,0.2071857452392578,0.22292137145996094,0.20503997802734375,0.2028942108154297,0.21505355834960938,0.1761913299560547,0.15115737915039062,0.17404556274414062,0.1480579376220703,0.5300045013427734,0.2219676971435547,0.18095970153808594,0.14472007751464844,0.13208389282226562,0.1270771026611328,0.13780593872070312,0.1499652862548828,0.13685226440429688,0.12803077697753906,0.14209747314453125,0.12874603271484375,0.11897087097167969,0.11897087097167969,0.11086463928222656,0.11730194091796875,0.13685226440429688
HC-R,70.37520408630371,33.30516815185547,33.944129943847656,34.5306396484375,34.204959869384766,33.83684158325195,51.92208290100098,40.38405418395996,34.26718711853027,34.320831298828125,34.256935119628906,34.38615798950195,33.98323059082031,34.2869758605957,34.216880798339844,33.81609916687012,50.43792724609375,34.41500663757324,34.21783447265625,36.374568939208984,34.41596031188965,34.28196907043457,34.12008285522461,34.34181213378906,33.71286392211914,51.24402046203613,34.026145935058594,34.32869911193848,33.8129997253418,33.7679386138916
SA,83.87207984924316,24.953842163085938,19.487857818603516,18.93019676208496,31.928062438964844,38.216352462768555,17.03810691833496,14.726877212524414,18.744230270385742,15.605926513671875,15.424013137817383,14.74308967590332,14.530181884765625,15.80810546875,15.131950378417969,15.611886978149414,33.724069595336914,19.346237182617188,14.89877700805664,14.230012893676758,14.312267303466797,16.809940338134766,13.792037963867188,13.946771621704102,13.733148574829102,13.297080993652344,18.050193786621094,14.296770095825195,16.316890716552734,14.093875885009766
GA,29.16884422302246,19.074201583862305,12.892007827758789,12.63570785522461,12.195110321044922,12.678146362304688,12.783050537109375,13.04173469543457,12.101888656616211,13.704299926757812,12.504100799560547,13.609170913696289,13.43536376953125,12.836933135986328,15.275001525878906,12.079000473022461,13.212203979492188,11.96908950805664,10.954141616821289,11.260032653808594,11.241912841796875,11.223077774047852,11.785030364990234,15.380859375,12.7410888671875,16.240835189819336,12.01486587524414,14.320850372314453,13.94510269165039,14.364242553710938
