ALGORITMO,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
HC,86.26723289489746,53.60293388366699,59.54718589782715,55.73129653930664,58.18510055541992,44.790029525756836,46.98610305786133,55.336952209472656,38.616180419921875,41.81933403015137,39.041996002197266,44.439077377319336,46.41890525817871,56.301116943359375,42.60873794555664,52.12712287902832,50.22883415222168,39.381980895996094,36.60297393798828,42.405128479003906,45.75514793395996,45.84026336669922,58.91585350036621,67.54899024963379,38.68699073791504,78.8278579711914,57.11698532104492,36.86189651489258,48.9809513092041,45.07613182067871
HC-R,2665.494918823242,2699.8291015625,2459.1076374053955,2490.4000759124756,2513.895034790039,2445.127010345459,2597.935914993286,2457.857131958008,2508.4500312805176,2701.6310691833496,2668.5402393341064,2541.038990020752,2572.084903717041,2499.486207962036,2479.5498847961426,2529.1550159454346,2613.970994949341,2628.725051879883,2606.348752975464,2471.7960357666016,2542.039155960083,2437.6230239868164,2432.913064956665,2533.83207321167,2496.3741302490234,2617.6347732543945,2574.3491649627686,2587.8279209136963,2622.509002685547,2719.3002700805664
SA,5385.512828826904,5024.213075637817,4822.742938995361,4778.403043746948,4745.054006576538,4807.632207870483,4727.483034133911,4713.927984237671,4701.426029205322,4670.374155044556,4705.413818359375,4700.33597946167,4699.54514503479,4682.50584602356,4680.278062820435,4768.797874450684,4657.7746868133545,4693.084955215454,4693.392992019653,4737.008094787598,4722.892045974731,4697.760105133057,4676.002025604248,4694.7808265686035,4660.81690788269,4655.089378356934,4642.442941665649,4675.604820251465,4698.854923248291,4739.500999450684
GA,3040.315866470337,3009.209156036377,3020.237922668457,2906.8329334259033,2835.688829421997,2915.8520698547363,2747.473955154419,2814.2049312591553,2797.3837852478027,2848.3781814575195,2783.3588123321533,2795.865058898926,2795.8579063415527,2953.476667404175,2804.485082626343,2771.8348503112793,2810.33992767334,2810.285806655884,2781.9437980651855,2792.3507690429688,2997.6861476898193,2740.9961223602295,2819.891929626465,2810.0931644439697,2850.695848464966,2809.6299171447754,2804.3391704559326,2761.1846923828125,2901.5889167785645,2783.855199813843
