Algoritmo,Custo,Solucao
HillClimbing,2.7615059051804316,"[0.9332873733117799, -0.9826914267573897]"
HillClimbingWithRestart,0.020300326558055914,"[-0.00461757974195217, 0.009001400304824325]"
SimulatedAnnealing,0.04541904717827627,"[-0.012422237999049596, 0.00864407215223463]"
GeneticAlgorithm,0.0,"[3.442487385284638e-10, -1.6423392020352934e-10]"
