ALGORITMO,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
HC,35909.89987292992,41647.42206535173,31161.493215019054,39692.92509987797,36544.241297059125,37331.13144679052,31412.921572437175,45402.77377654588,33355.00246721641,33379.61680006176,44662.69067912213,41190.60977153521,37893.01390830801,32744.509480700384,37771.742363272686,39917.97994025855,44801.786481997035,46549.39222997874,42105.69295093998,38719.24960244924,47155.24176629851,36816.32222125766,39474.519065687964,34654.67746577361,36976.77102241109,33487.075988163255,32322.991026097523,36153.05635338799,37153.83237204096,44207.54620887178
HC-R,28229.563123750195,29307.77731548803,30463.24906929826,30543.810249684753,28940.49763134213,29028.262554143457,28316.48568818207,30167.3281189989,31308.73900609793,31458.64661788319,30832.19370719186,31309.02901866016,30324.975306663964,28918.83043360803,29134.12665148881,31090.580713077823,32027.370834128826,30825.068414006462,30184.609977306314,29808.84806619795,30940.095223591616,31247.15004451546,30224.351326332133,30110.346921491506,29213.679045455876,29955.507550232407,28994.08868246057,28563.950063974615,29357.137820947395,30018.650042675614
SA,29543.699567080872,27601.17377449376,28759.53567141701,28623.09343000895,29070.998885756468,28744.417368177783,27757.829407318546,27757.829407318546,28877.73320453096,28877.73320453096,28864.92192344697,28679.9737063828,27610.293603677444,28729.50222640678,27757.829407318546,28679.973706382807,29020.28691528541,27757.82940731855,28735.59971568107,27601.173774493756,28597.18374122365,27796.58147131374,28874.041752630652,27601.173774493756,27610.293603677448,29070.998885756464,27757.82940731855,28679.9737063828,28209.35654726803,27610.293603677444
GA,27601.17377449375,29395.600596649743,27748.709578134854,27748.709578134854,27610.29360367744,27942.7305052368,28869.517478300964,27748.709578134854,28882.821785553413,27748.70957813485,29516.26152965555,28113.122220238616,29645.493218099622,29181.402528763632,27614.478081746198,28483.748610561917,28864.92192344696,29381.46592404583,28590.14534014112,28889.12183302928,27601.17377449375,28113.122220238616,27601.173774493753,28777.48541265515,27601.173774493753,30542.62676862482,27748.70957813485,28042.21638889861,27739.38394248533,28898.697396291827
