ALGORITMO,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
HC,19.77573097864863,43.57264883833403,33.17287006405211,8.007896216471597,38.80327027373916,15.440212767510175,34.31920405506739,20.691636061283475,38.56121060840986,18.90286486076915,49.6187686168713,16.04381963982421,38.18048210938367,22.51018546352326,24.750440832006582,27.12281481086952,39.37465173596495,26.01780970384752,34.63216672760174,57.59674848553348,20.505037747638195,54.35131453886948,39.26548476230958,40.69891422256793,44.734274034142764,35.41312651866668,29.848158550578134,55.25961691136567,25.021525204780993,43.96941798990034
HC-R,1.4170926522877814,3.1154421893478084,1.5407921738606536,0.5104284661961973,2.333048277755884,2.218970345357686,1.1741309129211324,1.5634518660647778,1.72188400414535,1.406944328678236,2.555529233469862,1.7290592978363595,1.6162228524208704,1.1495313530203628,2.9881257020275136,1.7576268340546228,1.6102271181580026,0.4294466290091137,1.2663443728447046,2.2405850997111703,1.0942207485174933,1.5596689588822183,1.0154990436139286,1.3673284738607308,2.6160511996397844,1.397030656204258,1.0513376132337644,0.022904135733860187,3.8736980872881617,2.150350795730187
SA,9.952264614571783,4.994273378585204,9.96675023654413,9.995042560605295,9.978803294223981,4.9770521389701265,9.95996438089584,4.987220535243969,1.991221374611433,9.97307010501393,9.952480212739397,9.951662369948677,9.969440509846217,9.99106819236145,9.977862037433528,9.954986516198236,8.96381055106047,9.954862209745922,10.005035284758275,4.9960831557257155,9.95844778252484,9.973108038378195,4.987807057318834,9.963615318656501,9.955037771923633,9.951915327790081,4.985065329287764,9.967641724332383,9.9528799602091,9.956568777171471
GA,0.11396011029962416,2.16339422443248,4.979873559985094,3.9897508461015576,2.0722066462447106,0.995709496131937,0.07226219484112306,2.0760280381312395,7.999482120888919,4.983093446101597,1.0587179111707403,1.162225790221223,2.2176192026638226,1.0094040367419375,1.0031857476261568,0.008583578315853657,1.0463283162688235,2.131576438359385,1.001477795747304,1.0765499490241304,4.9975870167247045,2.0465133555925785,1.024765367773787,4.030491574231625,1.0039888359738054,0.9994795589087211,4.1626580604813235,7.970464226710213,0.03392026565222572,0.9988644354373051
