ALGORITMO,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
HC,8316.0,8694.0,8316.0,13608.0,8694.0,8316.0,7560.0,7182.0,9072.0,6804.0,10584.0,10584.0,9450.0,9450.0,9828.0,9072.0,12852.0,9828.0,7938.0,9828.0,7560.0,8694.0,9072.0,8316.0,8694.0,9072.0,9072.0,10206.0,12096.0,9450.0
HC-R,488754.0,461160.0,484974.0,489510.0,487620.0,457380.0,467964.0,465696.0,478926.0,475524.0,490266.0,471744.0,474012.0,477036.0,470610.0,494424.0,469098.0,470232.0,480816.0,467586.0,484218.0,464184.0,458136.0,475902.0,476658.0,473256.0,478548.0,474012.0,467586.0,478926.0
SA,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0
GA,97243.0,97021.0,96977.0,97080.0,96837.0,97113.0,97014.0,96951.0,96999.0,97092.0,97137.0,96958.0,96989.0,97014.0,97032.0,97175.0,97018.0,97051.0,96949.0,96974.0,97012.0,97066.0,97081.0,96912.0,96906.0,97141.0,97188.0,96993.0,96945.0,96926.0
